id;qid1;qid2;doc1;doc2;is_duplicate
0;1;2;It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.;It is a widely accepted fact that a wealthy single man is inevitably in search of a wife.;
1;3;4;However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.;No matter how little is known about a man's thoughts or intentions when he arrives in a new community, families around him firmly believe that he naturally belongs to one of their daughters.;
2;5;6;"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""";"""Mr. Bennet, my dear,"" his wife remarked one day, ""did you hear that someone has finally rented Netherfield Park?""";
3;7;8;Mr. Bennet replied that he had not.;Mr. Bennet responded that he had not heard.;
4;9;10;"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""";"""But it is true,"" she replied. ""Mrs. Long was just here and shared all the details with me.""";
5;11;12;Mr. Bennet made no answer.;Mr. Bennet did not respond.;
6;13;14;"""Do not you want to know who has taken it?""";"""Aren't you curious to find out who has rented it?""";
7;15;16;cried his wife impatiently.;His wife exclaimed with impatience.;
8;17;18;"""_You_ want to tell me, and I have no objection to hearing it.""";"""You clearly want to tell me, and I don’t mind listening.""";
9;19;20;This was invitation enough.;That was more than enough encouragement.;
10;21;22;"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; 
that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""";"Why, my dear, you ought to know that Mrs. Long reports Netherfield has been leased by a young man with great wealth from northern England; he visited on Monday in a chaise and four, loved the property so much that he finalized the deal with Mr. Morris right away; he plans to take possession before Michaelmas, with some of his servants moving in by next week’s end.""";
11;23;24;"""What is his name?""";What’s his name?;
12;25;26;"""Bingley.""";"""Bingley.""";
13;27;28;"""Is he married or single?""";"""Is he single or married?""";
14;29;30;"""Oh!";"""Oh!";
15;31;32;single, my dear, to be sure!;Of course, my dear, he is single!;
16;33;34;"A single man of large fortune; four or five thousand a year.";"An unmarried man with a considerable fortune; earning four or five thousand annually.";
17;35;36;"What a fine thing for our girls!""";"""What a wonderful opportunity for our daughters!""";
18;37;38;"""How so?";"""In what way?""";
19;39;40;"how can it affect them?""";"how can it affect them?""";
20;41;42;"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!";"""My dear Mr. Bennet,"" his wife responded, ""how can you be so exasperating!""";
21;43;44;"You must know that I am thinking of his marrying one of them.""";"""Surely you realize that I am considering him marrying one of our daughters.";
22;45;46;"""Is that his design in settling here?""";"""Is that his intention in moving here?""";
23;47;48;"""Design!";"""Plan!""";
24;49;50;nonsense, how can you talk so!;"""Ridiculous, how can you speak like that!""";
25;51;52;"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""";"""But it’s quite possible he might fall in love with one of them, so you absolutely must call on him as soon as he arrives.""";
26;53;54;"""I see no occasion for that.";"""I don’t see any reason for that.""";
27;55;56;"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""";"""You and the girls can go, or perhaps it’s better if you send them alone, since you are just as beautiful as any of them, and Mr. Bingley might end up preferring you over the others.""";
28;57;58;"""My dear, you flatter me.";"""My dear, you are too kind.""";
29;59;60;I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now.;"""I’ve definitely enjoyed my share of beauty, but I don’t claim to be anything remarkable anymore.""";
30;61;62;"When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""";"""When a woman has five adult daughters, she should stop dwelling on her own looks.""";
31;63;64;"""In such cases, a woman has not often much beauty to think of.""";"""In such situations, a woman usually doesn’t have much beauty left to consider.""";
32;65;66;"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""";"""But, my dear, you really must visit Mr. Bingley when he arrives in the area.""";
33;67;68;"""It is more than I engage for, I assure you.""";"""I can promise you, that is more than I am willing to commit to.""";
34;69;70;"""But consider your daughters.";"""But think about your daughters.""";
35;71;72;Only think what an establishment it would be for one of them.;"""Just imagine what a great opportunity it would be for one of them.""";
36;73;74;Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers.;"""Sir William and Lady Lucas are set on visiting for that very reason, as you know they usually don’t call on new arrivals.""";
37;75;76;"Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""";"""You absolutely must go, because it will be impossible for us to call on him if you don’t.""";
38;77;78;"""You are over scrupulous surely.";"""You are being overly cautious, surely.""";
39;79;80;"I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.""";"""I’m sure Mr. Bingley will be delighted to meet you; and I’ll send a note with you to let him know he has my full blessing to marry any of the girls he chooses, although I must put in a special recommendation for my dear Lizzy.""";
40;81;82;"""I desire you will do no such thing.";"""I insist that you do no such thing.""";
41;83;84;"Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia.";"""Lizzy is no better than the rest; I’m certain she isn’t nearly as beautiful as Jane or as cheerful as Lydia.""";
42;85;86;"But you are always giving _her_ the preference.""";"""But you are constantly favoring her.""";
